Control Number,Account Name,District,Street,Connection Type,Connection Status,Last Reading,2019_DEC,2020_JAN,2020_FEB,2020_MAR,2020_APR,2020_MAY,2020_JUN,2020_JUL,2020_AUG,2020_SEP,2020_OCT,2020_NOV,2020_DEC,2022_JAN,2022_FEB,2022_MAR,2022_APR,2022_MAY,2022_JUN,2022_JUL,2022_AUG,2022_SEP,2022_OCT,2022_NOV,2022_DEC,2023_JAN,2023_FEB,2023_MAR,2023_APR,2023_MAY,2023_JUN,2023_JUL,2023_AUG,2023_SEP,2023_OCT,2023_NOV,2023_DEC,2024_JAN,2024_FEB,2024_MAR,2024_APR,2024_MAY,2024_JUN,2024_JUL,2024_AUG,2024_SEP,2024_OCT,2024_NOV,2024_DEC,2025_JAN,2025_FEB,2025_MAR,2025_APR,2025_MAY
500012,"Dejucos, Lony",District 4,Alicante Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500013,"Lique, Esteban",District 3,Alicante Street,Residential,Active,16.0,,,,,,,,19.0,12.0,22.0,19.0,22.0,,20.0,15.0,0.0,0.0,0.0,36.0,0.0,50.0,50.0,25.0,42.0,7.0,10.0,1.0,0.0,43.0,31.0,20.0,23.0,43.0,,,29.0,28.0,,,,,26.0,,25.0,22.0,,13.0,18.0,,26.0,25.0,4.0,16.0,16.0
500014,"Canchela, Emma",District 4,Alicante Street,Residential,Active,0.0,,,,,,,,31.0,40.0,8.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,19.0,0.0,33.0,33.0,20.0,14.0,30.0,19.0,23.0,0.0,35.0,30.0,7.0,19.0,68.0,,,7.0,6.0,,,,,4.0,,3.0,3.0,,1.0,2.0,,6.0,2.0,0.0,0.0,0.0
500015,"Cantuba, Fe",District 4,Alicante Street,Residential,Active,2.0,,,,,,,,13.0,16.0,8.0,5.0,5.0,,0.0,1.0,1.0,21.0,0.0,0.0,0.0,8.0,8.0,6.0,0.0,0.0,10.0,5.0,0.0,7.0,55.0,22.0,15.0,15.0,,,0.0,0.0,,,,,17.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,6.0,2.0
500016,"Gutierrez, Robert",,Moyot Street,Residential,Active,0.0,,,,,,,,0.0,4.0,0.0,0.0,0.0,,20.0,27.0,15.0,22.0,0.0,26.0,0.0,34.0,33.0,17.0,14.0,7.0,16.0,31.0,0.0,21.0,23.0,28.0,26.0,39.0,,,58.0,58.0,,,,,25.0,,21.0,18.0,,17.0,13.0,,12.0,11.0,18.0,19.0,0.0
500017,"Almosara, Elsie",,Moyot Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500018,"Quijano, Asteria",,Moyot Street,Residential,Active,0.0,,,,,,,,15.0,18.0,10.0,20.0,20.0,,22.0,13.0,24.0,11.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,240.0,34.0,34.0,0.0,43.0,44.0,54.0,36.0,93.0,,,50.0,50.0,,,,,45.0,,45.0,52.0,,43.0,47.0,,137.0,98.0,15.0,12.0,0.0
500019,"Leduna, Elsa",District 4,Esparrago Street,Residential,Active,13.0,,,,,,,,16.0,34.0,17.0,18.0,29.0,,27.0,18.0,39.0,11.0,26.0,29.0,0.0,45.0,44.0,18.0,0.0,34.0,15.0,10.0,0.0,18.0,42.0,8.0,13.0,68.0,,,0.0,0.0,,,,,0.0,,29.0,21.0,,27.0,20.0,,28.0,20.0,25.0,19.0,13.0
500020,"Alicante, Anacleto",District 4,Villamor Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500021,"Nacino, Christopher",District 4,Villamor Street,Residential,Active,0.0,,,,,,,,3.0,1.0,1.0,0.0,0.0,,1.0,5.0,5.0,6.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,54.0,17.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500022,"Llacer, Dizon",District 4,Grafilo Street,Residential,Active,32.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,14.0,1.0,1.0,12.0,1.0,0.0,1.0,14.0,14.0,14.0,27.0,14.0,16.0,11.0,0.0,17.0,18.0,13.0,17.0,38.0,,,18.0,18.0,,,,,6.0,,6.0,3.0,,7.0,10.0,,15.0,36.0,50.0,39.0,32.0
500023,"Bartolay, Christian",District 4,Barsaga Street,Residential,Active,41.0,,,,,,,,29.0,0.0,57.0,24.0,15.0,,15.0,13.0,10.0,2.0,0.0,19.0,4.0,20.0,20.0,8.0,2.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,24.0,21.0,,,38.0,38.0,,,,,17.0,,45.0,29.0,,11.0,25.0,,17.0,29.0,274.0,161.0,41.0
500024,"Bartolay, Regalado",District 2,Balcavem Street,Residential,Active,17.0,,,,,,,,0.0,2.0,1.0,1.0,1.0,,8.0,6.0,9.0,11.0,0.0,22.0,15.0,13.0,13.0,0.0,5.0,14.0,2.0,3.0,0.0,9.0,17.0,16.0,17.0,28.0,,,21.0,21.0,,,,,14.0,,10.0,13.0,,0.0,8.0,,11.0,10.0,12.0,15.0,17.0
500025,"Barrun, Concholita",District 2,Balcavem Street,Residential,Active,7.0,,,,,,,,10.0,16.0,7.0,13.0,10.0,,37.0,23.0,10.0,8.0,0.0,11.0,8.0,,,0.0,13.0,11.0,11.0,11.0,0.0,6.0,14.0,0.0,0.0,11.0,,,11.0,10.0,,,,,8.0,,8.0,9.0,,8.0,8.0,,7.0,6.0,6.0,9.0,7.0
500026,"Lagajino, Anita",District 2,Balcavem Street,Residential,Active,24.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,17.0,15.0,16.0,18.0,0.0,27.0,0.0,44.0,44.0,20.0,21.0,21.0,14.0,15.0,0.0,14.0,55.0,36.0,19.0,30.0,,,26.0,25.0,,,,,28.0,,18.0,34.0,,21.0,17.0,,23.0,23.0,32.0,30.0,24.0
500027,"Dilao, Elisa",District 2,Balcavem Street,Residential,Active,0.0,,,,,,,,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,4.0,,0.0,0.0,,0.0,0.0,3.0,0.0,0.0
500028,"Barrun, Alvin",District 2,Balcavem Street,Residential,Active,16.0,,,,,,,,0.0,0.0,0.0,11.0,10.0,,21.0,14.0,18.0,16.0,0.0,25.0,13.0,33.0,32.0,21.0,22.0,24.0,14.0,16.0,0.0,14.0,22.0,17.0,18.0,33.0,,,22.0,21.0,,,,,14.0,,18.0,0.0,,23.0,15.0,,15.0,15.0,18.0,18.0,16.0
500029,"Dejumo, Josie",District 2,Balcavem Street,Residential,Active,14.0,,,,,,,,10.0,20.0,10.0,13.0,9.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,,,21.0,20.0,,,,,15.0,,21.0,14.0,,11.0,9.0,,13.0,9.0,9.0,13.0,14.0
500030,"Bartolata, Editha",District 2,Balcavem Street,Residential,Active,1.0,,,,,,,,17.0,30.0,20.0,33.0,0.0,,3.0,1.0,0.0,15.0,0.0,8.0,5.0,14.0,13.0,9.0,10.0,9.0,9.0,2.0,0.0,6.0,10.0,7.0,11.0,14.0,,,7.0,7.0,,,,,2.0,,4.0,6.0,,6.0,2.0,,2.0,0.0,0.0,0.0,1.0
500031,"Dominguiano, Ely",District 2,Jones Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500032,"Bartolay, Leonor",District 2,Balcavem Street,Residential,Active,18.0,,,,,,,,7.0,13.0,10.0,22.0,15.0,,4.0,3.0,5.0,4.0,0.0,7.0,3.0,7.0,6.0,4.0,5.0,2.0,1.0,5.0,0.0,4.0,6.0,4.0,9.0,14.0,,,5.0,4.0,,,,,2.0,,2.0,2.0,,2.0,22.0,,0.0,0.0,4.0,21.0,18.0
500033,"Letada, Nila",District 2,Balcavem Street,Residential,Active,4.0,,,,,,,,7.0,11.0,8.0,11.0,15.0,,5.0,7.0,12.0,16.0,0.0,8.0,0.0,27.0,27.0,13.0,15.0,11.0,11.0,6.0,0.0,10.0,16.0,14.0,14.0,23.0,,,21.0,21.0,,,,,13.0,,13.0,11.0,,6.0,9.0,,2.0,10.0,14.0,10.0,4.0
500034,"Merillo, Emy",District 2,Jones Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500035,"Rapsing, Rowena",District 2,Jones Street,Residential,Active,16.0,,,,,,,,19.0,25.0,14.0,16.0,29.0,,8.0,8.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,9.0,0.0,34.0,0.0,0.0,0.0,0.0,,,105.0,104.0,,,,,70.0,,32.0,78.0,,37.0,25.0,,31.0,32.0,35.0,21.0,16.0
500036,"Bartolay, Adan",District 2,Jones Street,Residential,Active,4.0,,,,,,,,6.0,8.0,5.0,9.0,14.0,,13.0,8.0,7.0,9.0,0.0,10.0,0.0,24.0,24.0,10.0,12.0,12.0,12.0,10.0,0.0,10.0,13.0,14.0,15.0,21.0,,,10.0,9.0,,,,,6.0,,15.0,12.0,,8.0,8.0,,9.0,9.0,8.0,4.0,4.0
500037,"Espera, Nory",,Moyot Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500038,"Cantoria, Nerissa",,Moyot Street,Residential,Active,32.0,,,,,,,,0.0,34.0,26.0,37.0,39.0,,33.0,36.0,28.0,40.0,0.0,16.0,0.0,83.0,83.0,28.0,0.0,0.0,20.0,13.0,0.0,28.0,34.0,43.0,25.0,67.0,,,34.0,33.0,,,,,20.0,,1.0,28.0,,32.0,16.0,,34.0,27.0,35.0,30.0,32.0
500039,"Dejucos, Flora",,Moyot Street,Commercial,Active,26.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,41.0,41.0,,,,,76.0,,38.0,36.0,,0.0,31.0,,18.0,41.0,49.0,30.0,26.0
500040,"Balacano, Alfredo/Eden",,Moyot Street,Residential,Active,32.0,,,,,,,,0.0,0.0,16.0,32.0,53.0,,20.0,26.0,13.0,23.0,0.0,24.0,0.0,58.0,58.0,40.0,41.0,45.0,26.0,70.0,0.0,30.0,29.0,45.0,27.0,74.0,,,55.0,54.0,,,,,71.0,,70.0,68.0,,49.0,77.0,,58.0,64.0,49.0,42.0,32.0
500041,"Cantoria, Catalina",,Moyot Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500042,"Almojuela, Purisima",,Moyot Street,Residential,Active,29.0,,,,,,,,19.0,26.0,17.0,30.0,25.0,,36.0,36.0,20.0,36.0,0.0,32.0,0.0,65.0,64.0,36.0,30.0,31.0,16.0,38.0,0.0,32.0,12.0,1.0,1.0,3.0,,,14.0,13.0,,,,,1.0,,0.0,0.0,,4.0,9.0,,30.0,29.0,37.0,52.0,29.0
500043,"Almojuela, Segundino",District 3,Altarejos Street,Residential,Active,0.0,,,,,,,,2.0,3.0,1.0,2.0,3.0,,4.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0,5.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,,,3.0,2.0,,,,,0.0,,2.0,0.0,,1.0,2.0,,1.0,1.0,1.0,0.0,0.0
500044,"Meteoro, Lino",District 1,Bartolay Street,Residential,Active,24.0,,,,,,,,21.0,28.0,20.0,23.0,19.0,,27.0,19.0,36.0,18.0,0.0,44.0,14.0,58.0,57.0,34.0,37.0,33.0,28.0,16.0,0.0,21.0,27.0,21.0,24.0,59.0,,,36.0,35.0,,,,,20.0,,18.0,25.0,,26.0,19.0,,22.0,29.0,35.0,33.0,24.0
500045,"Bartolay, Orlando",District 2,Alicante Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500046,"Labajo, Felicisimo",District 2,Balcavem Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500047,"Dilao, Adelfa",District 2,Jones Street,Residential,Active,9.0,,,,,,,,11.0,14.0,9.0,11.0,10.0,,12.0,8.0,7.0,13.0,0.0,0.0,0.0,16.0,16.0,16.0,22.0,14.0,6.0,10.0,0.0,11.0,7.0,8.0,7.0,10.0,,,12.0,12.0,,,,,4.0,,7.0,7.0,,7.0,10.0,,14.0,12.0,16.0,5.0,9.0
500048,"Esparrago, Ana Grace",District 2,Jones Street,Residential,Active,23.0,,,,,,,,18.0,11.0,23.0,16.0,14.0,,39.0,50.0,50.0,85.0,0.0,69.0,0.0,132.0,132.0,60.0,67.0,74.0,40.0,48.0,0.0,41.0,70.0,58.0,76.0,117.0,,,100.0,100.0,,,,,50.0,,42.0,44.0,,51.0,46.0,,44.0,43.0,42.0,38.0,23.0
500049,"Floresta, Marieta",District 2,Balcavem Street,Residential,Active,23.0,,,,,,,,14.0,25.0,11.0,19.0,18.0,,27.0,19.0,23.0,18.0,0.0,35.0,0.0,47.0,46.0,20.0,23.0,23.0,14.0,19.0,0.0,12.0,24.0,19.0,21.0,42.0,,,30.0,29.0,,,,,26.0,,24.0,27.0,,24.0,18.0,,19.0,20.0,22.0,23.0,23.0
500050,"Espenilla, Evelyn",,Moyot Street,Residential,Active,11.0,,,,,,,,12.0,10.0,11.0,7.0,12.0,,12.0,15.0,17.0,13.0,0.0,17.0,0.0,25.0,24.0,12.0,8.0,14.0,8.0,20.0,0.0,11.0,19.0,38.0,28.0,37.0,,,22.0,21.0,,,,,13.0,,3.0,1.0,,0.0,0.0,,11.0,10.0,10.0,10.0,11.0
500051,"Lignes, Nena",,Moyot Street,Residential,Active,5.0,,,,,,,,6.0,9.0,2.0,10.0,14.0,,2.0,5.0,5.0,6.0,0.0,6.0,0.0,12.0,11.0,8.0,7.0,7.0,5.0,6.0,0.0,4.0,4.0,12.0,17.0,14.0,,,10.0,9.0,,,,,8.0,,4.0,7.0,,15.0,10.0,,11.0,6.0,0.0,18.0,5.0
500052,"Delavin, Nestor",,Moyot Street,Residential,Disconnected,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
500053,"Esplana, Nonita",,Moyot Street,Commercial,Active,37.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,74.0,0.0,43.0,42.0,0.0,0.0,297.0,55.0,54.0,0.0,36.0,33.0,74.0,65.0,86.0,,,54.0,54.0,,,,,51.0,,46.0,40.0,,44.0,25.0,,27.0,37.0,45.0,33.0,37.0
500054,"Leonino, Fe",,Moyot Street,Residential,Active,8.0,,,,,,,,0.0,9.0,8.0,34.0,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,42.0,,,21.0,21.0,,,,,27.0,,14.0,16.0,,16.0,14.0,,5.0,6.0,18.0,15.0,8.0
500055,"Almosara, Nacy",District 3,Flores Street,Residential,Active,23.0,,,,,,,,15.0,22.0,13.0,67.0,0.0,,18.0,22.0,27.0,34.0,0.0,35.0,0.0,51.0,51.0,25.0,26.0,39.0,21.0,40.0,0.0,19.0,21.0,50.0,34.0,61.0,,,0.0,0.0,,,,,31.0,,28.0,26.0,,26.0,17.0,,19.0,16.0,21.0,24.0,23.0
500056,"Villamor, Joel",District 4,Alicante Street,Residential,Active,18.0,,,,,,,,18.0,28.0,18.0,17.0,21.0,,14.0,16.0,13.0,20.0,0.0,19.0,0.0,32.0,31.0,15.0,22.0,20.0,14.0,9.0,0.0,18.0,21.0,8.0,25.0,39.0,,,25.0,24.0,,,,,16.0,,18.0,21.0,,7.0,40.0,,17.0,11.0,42.0,24.0,18.0
500057,"Dilao, Rosa",District 3,Flores Street,Residential,Active,0.0,,,,,,,,18.0,28.0,18.0,27.0,24.0,,66.0,46.0,32.0,81.0,0.0,62.0,0.0,109.0,109.0,51.0,46.0,55.0,28.0,48.0,0.0,43.0,75.0,31.0,73.0,124.0,,,99.0,99.0,,,,,74.0,,66.0,85.0,,75.0,18.0,,95.0,20.0,0.0,0.0,0.0
500058,"Gebilaguin, Emmanuel",District 3,Flores Street,Residential,Active,24.0,,,,,,,,28.0,42.0,26.0,28.0,27.0,,0.0,23.0,14.0,30.0,0.0,29.0,0.0,46.0,45.0,24.0,21.0,25.0,16.0,25.0,0.0,18.0,38.0,33.0,37.0,79.0,,,69.0,68.0,,,,,36.0,,24.0,29.0,,31.0,23.0,,22.0,25.0,31.0,30.0,24.0
500059,"Almosara, Lolita",District 3,Flores Street,Residential,Active,11.0,,,,,,,,10.0,13.0,11.0,10.0,9.0,,11.0,12.0,7.0,21.0,0.0,15.0,0.0,25.0,25.0,11.0,12.0,13.0,14.0,14.0,0.0,8.0,22.0,15.0,19.0,40.0,,,17.0,16.0,,,,,16.0,,15.0,20.0,,11.0,9.0,,6.0,1.0,20.0,11.0,11.0
500060,"Almocera, Leni",District 3,Flores Street,Residential,Active,8.0,,,,,,,,8.0,13.0,5.0,10.0,8.0,,13.0,17.0,10.0,18.0,0.0,19.0,0.0,38.0,37.0,19.0,19.0,37.0,22.0,6.0,0.0,16.0,21.0,13.0,18.0,32.0,,,15.0,15.0,,,,,21.0,,1.0,6.0,,3.0,4.0,,1.0,2.0,7.0,9.0,8.0
500061,"Espenida, Cecilia",District 4,Flores Street,Residential,Active,11.0,,,,,,,,4.0,0.0,9.0,9.0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18.0,0.0,57.0,29.0,,,18.0,17.0,,,,,48.0,,8.0,10.0,,15.0,7.0,,9.0,9.0,12.0,18.0,11.0
500062,"Tan, Sandro",District 3,Flores Street,Commercial,Active,48.0,,,,,,,,69.0,84.0,56.0,73.0,52.0,,83.0,77.0,57.0,105.0,0.0,72.0,0.0,98.0,98.0,47.0,56.0,65.0,43.0,47.0,0.0,30.0,62.0,37.0,48.0,92.0,,,30.0,29.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,13.0,73.0,32.0,62.0,48.0
500063,"Barsaga, Editha",District 3,Flores Street,Residential,Active,23.0,,,,,,,,16.0,13.0,7.0,16.0,10.0,,18.0,17.0,16.0,47.0,0.0,23.0,0.0,64.0,63.0,33.0,30.0,37.0,23.0,25.0,0.0,20.0,37.0,19.0,41.0,111.0,,,35.0,35.0,,,,,32.0,,23.0,24.0,,30.0,22.0,,21.0,30.0,36.0,29.0,23.0
